date	pe
1/7/17	24.8
1/14/17	25
1/21/17	24.2
1/28/17	24.4
2/4/17	24.1
2/11/17	23.9
2/18/17	24.1
2/25/17	24.2
3/4/17	24.5
3/11/17	24.4
3/18/17	24.8
3/25/17	23.9
4/1/17	23
4/8/17	23.3
4/15/17	22.9
4/22/17	22.7
4/29/17	23
5/6/17	22.8
5/13/17	22.4
5/20/17	22.5
5/27/17	22.6
6/3/17	22.7
6/10/17	22.7
6/17/17	22.7
6/24/17	21.8
7/1/17	22.2
7/8/17	22.3
7/15/17	22.7
7/22/17	22.2
7/29/17	22.2
8/5/17	21.9
8/12/17	22.4
8/19/17	22.8
8/26/17	23
9/2/17	22.7
9/9/17	22.7
9/16/17	21.1
9/23/17	20.7
9/30/17	20.8
10/7/17	20.5
10/14/17	21
10/21/17	20.9
10/28/17	20.9
11/4/17	21.1
11/11/17	20.9
11/18/17	21
11/25/17	20.2
12/2/17	20.4
12/9/17	19.9
12/16/17	19.7
12/23/17	20
12/30/17	20.3
1/6/95	20.2
1/13/95	20.4
1/20/95	19.9
1/27/95	19.8
2/3/95	19.9
2/10/95	20.3
2/17/95	20.1
2/24/95	20.1
3/3/95	20.5
3/10/95	20.6
3/17/95	20.6
3/24/95	20.7
3/31/95	20.9
4/7/95	21
4/14/95	21.6
4/21/95	21.1
4/28/95	21.4
5/5/95	21.4
5/12/95	21.5
5/19/95	21.6
5/26/95	21.8
6/2/95	21.8
6/9/95	21.2
6/16/95	21.8
6/23/95	22.6
6/30/95	22.3
7/7/95	23.4
7/14/95	24.1
7/21/95	22.7
7/28/95	23.5
8/4/95	23.1
8/11/95	23.3
8/18/95	23.9
8/25/95	23.5
9/1/95	23.4
9/8/95	24.4
9/15/95	23.8
9/22/95	23.8
9/29/95	23.8
10/6/95	23.2
10/13/95	23.1
10/20/95	23.3
10/27/95	22.4
11/3/95	23.3
11/10/95	23.3
11/17/95	23.2
11/24/95	22.7
12/1/95	23.1
12/8/95	23.4
12/15/95	22.5
12/22/95	22.9
12/29/95	22.9
1/5/96	22.7
1/12/96	22.1
1/19/96	21.9
1/26/96	22.5
2/2/96	23
2/9/96	23.4
2/16/96	23.3
2/23/96	23.8
3/1/96	23.1
3/8/96	22.5
3/15/96	23.3
3/22/96	23.3
3/29/96	23.4
4/5/96	23.9
4/12/96	23.7
4/19/96	24.5
4/26/96	25.6
5/3/96	25.4
5/10/96	25.6
5/17/96	26.2
5/24/96	26.1
5/31/96	26.3
6/7/96	26
6/14/96	25.8
6/21/96	25.3
6/28/96	25.3
7/5/96	24.7
7/12/96	23.7
7/19/96	23.5
7/26/96	23.2
8/2/96	24.1
8/9/96	24.3
8/16/96	24.2
8/23/96	24.5
8/30/96	24.2
9/6/96	24.2
9/13/96	25.2
9/20/96	26
9/27/96	26.2
10/4/96	26.4
10/11/96	26.1
10/18/96	25.8
10/25/96	25.1
11/1/96	25.1
11/8/96	26.1
11/15/96	26.2
11/22/96	26.7
11/29/96	27
12/6/96	26.8
12/13/96	26.7
12/20/96	26.8
12/27/96	26.8
1/3/97	27.2
1/10/97	27.3
1/17/97	26.7
1/24/97	26.8
1/31/97	27.4
2/7/97	26.8
2/14/97	27.1
2/21/97	26.5
2/28/97	25.9
3/7/97	26
3/14/97	25.6
3/21/97	24.9
3/28/97	25.1
4/4/97	25.1
4/11/97	24.3
4/18/97	23.9
4/25/97	23.8
5/2/97	25.7
5/9/97	26.3
5/16/97	26.5
5/23/97	27.4
5/30/97	27.3
6/6/97	27.3
6/13/97	27.7
6/20/97	27.9
6/27/97	27.9
7/4/97	28.1
7/11/97	28.9
7/18/97	29
7/25/97	29.4
8/1/97	29.6
8/8/97	29.8
8/15/97	28.9
8/22/97	29.6
8/29/97	29.1
9/5/97	30.2
9/12/97	30.1
9/19/97	30.6
9/26/97	30.4
10/3/97	30.9
10/10/97	31.7
10/17/97	29.7
10/24/97	29.1
10/31/97	28
11/7/97	27.9
11/14/97	27.6
11/21/97	28.2
11/28/97	27.8
12/5/97	28.2
12/12/97	26.3
12/19/97	26.3
12/26/97	26.1
1/2/98	27.4
1/9/98	26
1/16/98	26.9
1/23/98	26.8
1/30/98	27.6
2/6/98	28.8
2/13/98	29.3
2/20/98	29.5
2/27/98	30.4
3/6/98	29.8
3/13/98	30
3/20/98	29.9
3/27/98	30.8
4/3/98	31.3
4/10/98	30.5
4/17/98	31.7
4/24/98	31.5
5/1/98	31.5
5/8/98	31.5
5/15/98	31.1
5/22/98	30.2
5/29/98	29.6
6/5/98	29.7
6/12/98	29.1
6/19/98	29.7
6/26/98	31.3
7/3/98	31.6
7/10/98	32.6
7/17/98	33.6
7/24/98	32.6
7/31/98	31.4
8/7/98	30.7
8/14/98	29.9
8/21/98	30.1
8/28/98	26.8
9/4/98	25.8
9/11/98	27.1
9/18/98	27.1
